Отметка времени	Тип проблемы	Название продукта	Ссылка на пуш в репе	Комментарий
17.03.2022 22:31:50	Политические лозунги	https://pastebin.com/	https://pastebin.com/	Политический баннер
17.03.2022 22:38:44	Показывает флаг украины при первом запуске.	Qalctulate! (GTK)	https://github.com/Qalculate/qalculate-gtk/commit/74c7413429b386f08028565f16f537204217b456	Remove flags for RUB and BYR/BYN, and show UAH flag when first using the new version. Ничего серьезного, но раздражает. Версия с этим коммитом уже в репозиториях arch. Работает не только в РФ/БР, а вообще у всех.
17.03.2022 22:41:17	Политические лозунги	spaceship-prompt/spaceship-prompt	https://github.com/spaceship-prompt	Поддержка полит лозунгами и удаление всех русских issues
17.03.2022 22:43:19	Политические лозунги	https://github.com/vadimdemedes/ink	https://github.com/vadimdemedes/ink/issues/506	Issue с призывом платной поддержки украинской армии
17.03.2022 22:47:04	Политические лозунги	Redirect Russia	https://github.com/pabio/redirect-russia	Установленный скрипт на сайте редиректит на страницу с агиткой. Проверяет по ip пользователя и таймзоне.
17.03.2022 22:52:13	Политические лозунги	Redirect Russia	https://github.com/pabio/redirect-russia	Скрипт встраиваемый на сайты, перенаправляющий пользователей из России на страницу с политическими лозунгами
17.03.2022 23:32:12	Политические лозунги	GM-DONATE (gm-donate.ru) система доната в Garry's mod	https://github.com/GM-DONATE/IGS/commit/d98b6dd9f43225a6b03c665db8a57690646515ee#diff-13dde08e38ae5b40da01b8fed10e552f417dd1044710f28c10afa801521cb6bc	Скрытно заменена текстура модели автомата с содовой на текстуру господина П. с фекалиями с расчетом на проблемы с законом. Возможно дальнейшее внедрение вредоносов, функционал позволяет.
17.03.2022 23:48:54	Политические лозунги	https://github.com/mallardduck/	https://github.com/KickflipCli/kickflip-src	Генератор фейковых сайтов по шаблону с ключевыми словами и призывами (одного мейнтейнера уже забанили за национальную рознь, другой продолжает работу)
17.03.2022 23:50:48	Политические лозунги	https://github.com/k01ek	https://github.com/k01ek/notowar	Примеры программ на разных языках программированиях выводящие текст "No to war"
18.03.2022 0:13:35	Политические лозунги	vdz yandex metrika	https://plugins.trac.wordpress.org/browser/vdz-yandex-metrika/assets/banner-772x250.png?rev=2688057	это плагин wordpress, политические лозунги плюс бекдор, сейчас репозиторий зачищен, плагин блокирован
18.03.2022 0:16:48	Политические лозунги	Ember.js	https://emberjs.com/community/invasion-of-ukraine/	https://emberjs.com/
18.03.2022 0:17:31	Политические лозунги	https://github.com/stop-war-in-ukraine	https://github.com/yarnpkg/website/issues/1155	Массовый спам issues в репозиториях
18.03.2022 0:23:26	Разжигание ненависти, отказ в обновлениях	OkayCMS	https://okay-cms.com/ https://ok-cms.com/	Были политические заявления в блоге и на сайте компании, указывающие на то, что русских ненавидят. Прямой отказ в обновлениях движка и отправке уже оплаченных ранее модулей
18.03.2022 0:49:08	Политические лозунги, призывы и инструкции к ДДОС	https://github.com/NewEXE/belsk-schedule	https://github.com/NewEXE/belsk-schedule/commit/b27b55bcf992887864d933af19e009e5750c4ca1	Куча говна
18.03.2022 1:05:50	Политические лозунги	React.js	https://github.com/reactjs/reactjs.org/commit/d90fd21fdbedb075a4cc196c16156b534daf14a4	Баннер "Поддержите Украину" на сайте с документацией
18.03.2022 1:19:52	Политические лозунги	Elmedia Player macOS	…	Вместо проигрывания медиа файлов запускает видео военных действий с политическими лозунгами
18.03.2022 9:16:37	Политические лозунги	MUI	https://github.com/mui/material-ui/pull/31275	Баннер в поддержку Украины
18.03.2022 10:11:00	Политические лозунги	Snap package with winbox	https://github.com/panaceya/winbox/commit/adb017fd7bf2ea40bbf5e449a20091192188509f	
18.03.2022 10:22:09	Политические лозунги	daemon tools	daemon-tools.cc	с главного сайта начали перенаправлять на политический, отключили обновления
18.03.2022 10:32:54	Политические лозунги	laminas/*, mezzio/*,	https://github.com/laminas/laminas-servicemanager/commit/1fb805d456f4e916e5fbddad4d2349adfd2f05ba	Данный политический лозунг есть во всех пакетах laminas/ и mezzio/.
18.03.2022 10:38:12	Политические лозунги	Symfony	-	Баннер в поддержку Украины в шапке сайта
18.03.2022 11:29:02	Политические лозунги	react-create-app	https://github.com/facebook/create-react-app/commit/fd8c5f7b1b1d19d10d24cc2f9fdfc110585dc030	docs: add homepage banner in support of Ukraine (#12113)
18.03.2022 11:37:25	Политические лозунги	Portable ASCII for PHP	https://github.com/voku/portable-ascii	used e.g. in Laravel Core
18.03.2022 11:43:36	Политические лозунги	T-Regx	https://github.com/T-Regx/T-Regx/commit/88c05aa62f1931f31e252c68c4084f22336e4552 и https://github.com/T-Regx/T-Regx/commit/7e4812ab0a0c562c0d3e024926c71c24a98fa3b4	StandWithUkraine banner
18.03.2022 11:55:30	Политические лозунги	https://www.npmjs.com/package/event-source-polyfill	https://github.com/Yaffle/EventSource/commit/de137927e13d8afac153d2485152ccec48948a7a	Через 15 секунд после открытия страницы алертит призыв прекратить происходящее и открывает change.org
18.03.2022 12:04:01	Политические лозунги	Сobian backup	https://github.com/jomael/cobianbackup	В последней обнове прилетели призывы свергать власть
18.03.2022 12:12:03	Политические лозунги	snap winbox	https://github.com/panaceya/winbox	Политические лозунги
18.03.2022 12:12:55	Политические лозунги	EventSource	https://github.com/Yaffle/EventSource/blob/master/src/eventsource.js#L1032	Полифилы js используются в множестве сторонних сервисов, пол миллиона загрузок в неделю.
18.03.2022 12:46:47	Политические лозунги	Symfony	https://github.com/symfony/symfony/commit/37ca066c6fb3aac241ccfb12b2531675798528d7	Шильдик #StandWithUkraine
18.03.2022 13:04:04	Политические лозунги	Leaflet	https://github.com/Leaflet/Leaflet/commit/c94faa201a916fbf48e30156179d78ab5620d2d5	На сайте заменена главная страница: https://leafletjs.com/
