contributor,repo_with_contributor_PR,contributor_PR,reason_for_inclusion_of_the_contributor_in_the_list,comment_to_the_reason
arendst,https://github.com/arendst/Tasmota,https://github.com/arendst/Tasmota/pull/15289,Политические лозунги,проверяет координаты микроконтроллера
arendst,https://github.com/arendst/Tasmota,https://github.com/arendst/Tasmota/pull/15286,Политические лозунги,проверяет координаты микроконтроллера
erkexzcx,https://github.com/erkexzcx/stoppropaganda,https://github.com/erkexzcx/stoppropaganda/pull/152,"Малварь, шифровальщик или иные фатальные угрозы",Досилка
erkexzcx,https://github.com/erkexzcx/stoppropaganda,https://github.com/erkexzcx/stoppropaganda/pull/149,"Малварь, шифровальщик или иные фатальные угрозы",Досилка
erkexzcx,https://github.com/erkexzcx/stoppropaganda,https://github.com/erkexzcx/stoppropaganda/pull/151,"Малварь, шифровальщик или иные фатальные угрозы",Досилка
erkexzcx,https://github.com/erkexzcx/stoppropaganda,https://github.com/erkexzcx/stoppropaganda/pull/147,"Малварь, шифровальщик или иные фатальные угрозы",Досилка
erkexzcx,https://github.com/erkexzcx/stoppropaganda,https://github.com/erkexzcx/stoppropaganda/pull/148,"Малварь, шифровальщик или иные фатальные угрозы",Досилка
mickael-kerjean,https://github.com/mickael-kerjean/filestash,https://github.com/mickael-kerjean/filestash/pull/435,Политические лозунги,С помощью определения ip показывали видео обращение Зеленского. Сейчас убрали
zkochan,https://github.com/pnpm/pnpm,https://github.com/pnpm/pnpm/pull/4532,"Политические лозунги, блокировка","Заблокирован доступ на основной сайт https://pnpm.io по ~нац~ гео признаку. Основной мэйнтэйнер Украинец и, как видно, на дух не переносит русских."
Dmi3yy,https://github.com/evolution-cms/evolution,https://github.com/evolution-cms/evolution/pull/2082,Политические лозунги,После обновления на релизы Evolution CMS 3.1.10 и Evolution CMS 1.4.17 полит. лозунг в админке
zkochan,https://github.com/teambit/bit,https://github.com/teambit/bit/pull/5648,"Политические лозунги, блокировка","Заблокирован доступ на основной сайт https://pnpm.io по ~нац~ гео признаку. Основной мэйнтэйнер Украинец и, как видно, на дух не переносит русских."
Dmi3yy,https://github.com/evolution-cms/installer,https://github.com/evolution-cms/installer/pull/37,Политические лозунги,После обновления на релизы Evolution CMS 3.1.10 и Evolution CMS 1.4.17 полит. лозунг в админке
